Company,Growth Margin,Operating Margin,ROE,Forward P/E,PEG,Revenue TTM Growth,FCF Margin,Debt/Equity,Current Ratio,R&D Intensity,Investment Ratio,Growth,Profitability,Valuation,Safety,Stability Score (Rev- Var),Moat Score (G.Margin- Var),R&D Score,Investment Score,Score
Nexans S.A.,13.028999999999998,6.516,25.674999999999997,14.88372,0.0,5.0396465546684865,0.0,1.09262,,1.0744879943596262,53.85714285714286,0.0011327587048139012,0.13062499999999996,0.9126145454545455,0.0,0.0,0.7061475245163409,0.0,1.0,31.3
NKT A/S,31.774,7.513,11.846,25.221691,0.0,18.83265333867668,-16.28766662932676,0.12083973374295955,1.4311764705882353,0.0,241.53896583950564,0.39521866681933365,0.015383333333333334,0.599342696969697,0.547374250775579,0.9861974707256785,1.0,0.0,1.0,35.8
"Quanta Services, Inc.",15.037,5.768,13.727,43.39862,1.741,21.40061339812683,3.9916662029252157,0.6499934712906049,1.3681122240707106,0.0,30.950340293203336,0.4685889542321951,0.031058333333333337,0.3390133333333333,0.2670313203723752,0.9119504064856034,0.9318078105401023,0.0,0.598581151234381,27.8
Eaton Corporation plc,38.162,18.569,20.732999999999997,31.227386,2.7562,9.940435015370792,10.514924017678755,0.6225411157691068,1.2400458619970816,3.1139527613176936,19.828840880263204,0.1411552861534512,0.16514103348065626,0.26962596969696967,0.248740907614717,0.9321907125471145,0.9425299097428893,0.0,0.28082402515037724,19.8
Schneider Electric S.E.,42.174,17.055999999999997,15.964999999999998,27.332266,1.9767,9.694597670736327,0.0,0.61434,1.1383989861653818,3.2415578833873657,25.10335323840147,0.1341313620210379,0.0849583333333333,0.5235179393939393,0.22742974654134546,0.6337045398501816,1.0,0.0,0.43152437824004203,24.6
ABB Ltd,38.509998,18.43,29.997998,37.834396,2.8905,6.908588132882199,9.988670694864048,0.6884547069271758,1.3748490817817882,4.214258134235791,19.01381124439948,0.054531089510919985,0.23680557245720038,0.13594475757575764,0.24948491698185915,0.4073632527853144,0.9426619542305312,0.0,0.25753746412569944,15.3
Hubbell Incorporated,34.809,22.583000000000002,25.468000000000004,24.51411,2.2542,4.623224799568082,12.970871040723983,0.5736445221779396,1.297631523789562,0.0,18.22677036296646,0.0,0.25851559200603325,0.49684227272727277,0.2875856198584207,0.7072597089218302,0.8739475550902189,0.0,0.23505058179904167,25.5
Polycab India Limited,26.148,14.357000000000001,25.747999999999998,46.56241,0.0,24.727974764084994,3.3922197785925507,0.1535542148747713,2.6548741847205215,0.0,105.2714437859425,0.5636564218309998,0.1312333333333333,0.0,0.8369414387427447,1.0,0.7423411549023153,0.0,1.0,29.2
KEI Industries Limited,22.662,9.137998999999999,16.393,41.277287,0.0,23.54904337895033,0.0,0.0375418917167178,4.179922463713285,0.0,42.328851398523,0.5299726679700094,0.053275,0.11280948484848485,0.9812290541416411,1.0,0.48239190189637193,0.0,0.9236814685292286,30.7
"NextEra Energy, Inc.",61.974996000000004,33.851,7.5920000000000005,22.9375,2.7842,11.23485490926416,12.163812267134224,1.834537472685395,0.5420662125222372,0.0,73.93014511584182,0.1781387116932617,0.3999150688927852,0.3882303030303031,0.0,0.0,0.7920240856977365,0.0,1.0,29.0
The AES Corporation,16.922002,14.011000000000001,1.7420000000000002,7.167488,0.0,-1.0823396454240428,-19.298901771446058,8.985158800831107,0.8230238312280245,0.0,196.06001029328527,0.0,0.0,1.0,0.0,0.0,0.45980514340799883,0.0,1.0,30.0
"Clearway Energy, Inc.",64.316005,22.194,-2.001,0.0,3.4097,5.6195916291025325,32.57225433526011,5.054624121146566,1.4232613908872902,0.016806722689075633,30.681176333294438,0.01770261797435807,0.4923521611271676,0.5,0.10581534772182255,0.0,0.7701585489156209,0.0,0.5908907523798411,31.4
Brookfield Renewable Partners L.P.,56.236,19.384999999999998,0.45999999999999996,-366.12503,0.0,13.75369232081922,-64.13962883474309,1.14532,0.44104186677213403,0.0,285.44761285780055,0.2501054948805491,0.17184166666666661,1.0,0.0,0.9136357876678869,0.8900292954449092,0.0,1.0,42.7
Brookfield Renewable Corporation,59.171003,29.566,-9.151,184.54546,0.0,-0.47404244404409734,-19.42581726739313,124.04310344827586,0.27001604200087503,0.0,198.3682732421283,0.0,0.28114169166666664,0.0,0.0,0.7481639610394439,0.9202733914913879,0.0,1.0,8.4
"Iberdrola, S.A.",53.696,22.379999,8.809000000000001,24.112679,2.824,0.8111591407078036,0.0,1.0464753702810052,0.746441750131787,0.0,64.99090299722302,0.0,0.175633325,0.36047456060606065,0.0,0.0,0.8064009461814461,0.0,1.0,16.1
Ørsted A/S,46.528998,6.583,8.100999999999999,4.2885666,0.0,13.118534063131046,-47.60144224609697,1.0319389389275695,1.1835795498491763,0.0,285.7742247657686,0.23195811608945846,0.05440831666666668,1.0,0.04589488746229409,0.0,0.17578691183819287,0.0,1.0,39.0
RWE Aktiengesellschaft,30.238,17.347,7.543000599999999,20.03941,0.0,-14.190652711674163,-34.05528950805398,0.55403,1.2719825931140407,0.0,198.009863087288,0.0,0.019558333333333344,0.7563815151515152,0.29098064827851017,0.0,0.0,0.0,1.0,26.2
Engie SA,34.645998,12.586,15.719,8.940909,0.0,8.451235375641609,0.0,1.37517,1.0593352829737535,,71.40139987827145,0.09860672501833169,0.04765833333333333,1.0,0.014833820743438364,0.0,0.24332364444489718,0.0,1.0,34.5
Adani Green Energy Limited,84.446,59.868,0.0,38.47532,0.0,34.12870162266552,0.0,6.5947103897173935,0.5104808147797253,0.0,204.49889796447556,0.8322486177904433,0.5,0.19771757575757565,0.0,0.7542188537070356,0.8274884628197172,0.0,1.0,45.9
ReNew Energy Global Plc,86.542,53.739000000000004,7.2230004,19.947369,0.0,55.01851037104913,9.54381596187819,6.14274346471624,0.7716719305517447,0.0,104.47019422430148,1.0,0.5378651330156515,0.7591706363636364,0.0,0.6173790739780136,0.8650303992505308,0.0,1.0,68.9
NTPC Limited,44.237998,16.983,0.0,14.186384,0.0,1.5941320284301557,0.0,1.3586927468702865,0.8978400028792114,0.0,76.8492331141851,0.0,0.05184164999999998,0.9337459393939394,0.0,0.17868976972905126,0.6732112112407098,0.0,1.0,29.6
BYD COMPANY,18.747999,2.004,21.792,6.11336,0.7533,25.78752931494065,-2.3038819767771086,0.17309730178268762,0.7609448769986801,7.000583123442858,71.93606776608222,0.5939294089983043,0.09826666666666668,1.0,0.4134513491086562,0.7174711616374743,0.5515685107678708,0.11768136020252108,1.0,54.9
"Contemporary Amperex Technology Co., Limited",24.153,18.514,22.142999999999997,27.195774,1.1715,17.95004683070556,20.01365591741619,0.47555135913093527,1.6895586409385261,5.206223398020529,36.223527980119044,0.37000133802015883,0.25558879931180156,0.726886,0.4346139806691639,0.0,0.22892124455176888,0.012130788118854648,0.7492436565748298,44.9
"LG Energy Solution, Ltd.",15.122,0.025,1.672,83.60967,0.0,-2.9369129653485664,-32.41445668791434,1.0636830849358379,1.2104277278467954,0.82304872008503,239.00351836010304,0.0,0.0,0.0,0.052606931961698855,0.0,0.049036196097062223,0.0,1.0,0.5
"Samsung SDI Co., Ltd.",12.9,-14.601,-1.926,27.797695,1.1525,-13.437812198033837,-26.758626100364552,0.5603502711067142,1.0933363752466523,8.444188890902312,364.65527593347093,0.0,0.0,0.7225159848484848,0.24315895825830597,0.0,0.27137356469541435,0.20259934652366543,1.0,24.1
Panasonic Holdings Corporation,31.594,4.63,7.846,10.784719,0.0,4.608730717871468,0.0,0.33406526598274844,1.3476749443575313,,75.74865487699877,0.0,0.0,1.0,0.4198861030980086,0.0,0.3793508382654791,0.0,1.0,34.2
"Gotion High-tech Co.,Ltd.",17.299,13.61,0.0,52.011627,6.0404,23.120962480624883,-17.156975243535438,1.84813699325393,0.8831369840992468,6.258978851792472,542.841213502063,0.5177417851607109,0.0,0.0,0.0,0.4056111875259386,0.8514174217568632,0.07405757951720424,1.0,15.5
